  Epochs    1-2-4 svhn    6-6-6 svhn    4-6-16 svhn    1-2-4 mnist    6-6-6 mnist    4-6-16 mnist
--------  ------------  ------------  -------------  -------------  -------------  --------------
       1      0.951397      0.956295       0.956331       0.12174        0.964934        0.967162
       2      0.959541      0.96827        0.968678       0.114686       0.97634         0.974561
       3      0.967177      0.96998        0.976702       0.118203       0.98456         0.982541
       4      0.972456      0.980527       0.977727       0.117865       0.986828        0.982901
       5      0.973735      0.985578       0.980425       0.109003       0.986329        0.985293
       6      0.97299       0.98561        0.984918       0.119606       0.98561         0.987453
       7      0.97438       0.983571       0.984935       0.109272       0.990375        0.99122
       8      0.973679      0.987238       0.988141       0.112654       0.991891        0.990215
       9      0.979165      0.987033       0.98708        0.110044       0.992723        0.992805
      10      0.981964      0.989712       0.984888       0.112402       0.990347        0.993367
