  Epochs     1-2-4      1-4-6      4-4-6      6-4-4     1-6-2     1-6-4
--------  --------  ---------  ---------  ---------  --------  --------
       1  0.12174   0.113447   0.0965886  0.0908328  0.843637  0.973178
       2  0.114686  0.101646   0.1055     0.100381   0.888409  0.980425
       3  0.118203  0.0964607  0.10743    0.0997866  0.677902  0.98375
       4  0.117865  0.0980009  0.100643   0.100466   0.914602  0.982978
       5  0.109003  0.101369   0.0911958  0.106551   0.900161  0.989683
       6  0.119606  0.0998359  0.0980976  0.102927   0.932125  0.988519
       7  0.109272  0.103465   0.107753   0.0970573  0.910556  0.984785
       8  0.112654  0.103373   0.0979864  0.102542   0.805077  0.988197
       9  0.110044  0.107758   0.108077   0.108902   0.93024   0.990328
      10  0.112402  0.103635   0.106321   0.10229    0.613989  0.989754
